scoutId,regio1,regio2,regio3,geo_plz,baseRent,totalRent,serviceCharge,heatingCosts,livingSpace,noRooms,yearConstructed,condition,typeOfFlat,energyEfficiencyClass,heatingType,pricetrend,newlyConst,balcony,lift,cellar,garden,hasKitchen,date
112508421,Sachsen,Leipzig,Zentrum_Nord,4105,816.0,1051.0,91.0,144.0,95.98,3.0,1920.0,first_time_use_after_refurbishment,apartment,,,4.84,False,False,True,False,False,False,Oct19
70389310,Hessen,Main_Taunus_Kreis,Liederbach_am_Taunus,65835,740.0,895.0,155.0,,78.0,2.0,1992.0,well_kept,roof_storey,E,central_heating,4.17,False,True,False,True,True,True,Sep18
102119999,Sachsen,Chemnitz,Kaßberg,9112,235.0,345.0,46.24,63.76,47.98,2.0,1910.0,refurbished,,NO_INFORMATION,central_heating,1.85,False,False,False,True,True,False,May19
111371737,Nordrhein_Westfalen,Dortmund,Innenstadt,44135,350.0,470.0,60.0,60.0,33.0,1.5,1971.0,well_kept,apartment,,central_heating,4.51,False,True,True,False,False,True,May19
102102346,Rheinland_Pfalz,Koblenz,Rauental,56073,1050.0,1250.0,200.0,,98.0,4.0,2006.0,mint_condition,apartment,,gas_heating,3.95,False,True,False,True,False,True,Feb20
114763479,Hessen,Kassel,Mitte,34117,412.0,592.0,180.0,,46.0,2.0,1970.0,modernized,apartment,,district_heating,2.69,False,False,True,False,False,True,Feb20
109813237,Nordrhein_Westfalen,Viersen_Kreis,Brüggen,41379,1470.0,,294.0,,147.0,4.0,2019.0,first_time_use,apartment,B,central_heating,2.66,True,True,True,True,False,False,May19
113803361,Baden_Württemberg,Rhein_Neckar_Kreis,Walldorf,69190,700.0,950.0,250.0,,68.0,2.0,1968.0,fully_renovated,ground_floor,,central_heating,3.85,False,True,False,True,False,False,Oct19
106836222,Bayern,München,Solln,81479,2500.0,3000.0,500.0,,166.0,5.0,1998.0,,apartment,,gas_heating,7.38,False,True,False,False,True,True,Sep18
115506206,Hessen,Frankfurt_am_Main,Innenstadt,60312,1564.13,1758.13,194.0,,48.65,2.0,2017.0,first_time_use,apartment,B,district_heating,5.43,False,False,True,False,False,True,Feb20
111178230,Nordrhein_Westfalen,Bochum,Altenbochum,44803,530.49,743.49,146.0,67.0,67.15,3.0,1954.0,,apartment,C,central_heating,4.94,False,True,False,True,False,False,May19
114135581,Bayern,Günzburg_Kreis,Jettingen_Scheppach,89343,675.0,900.0,175.0,,84.42,3.0,1993.0,fully_renovated,apartment,,central_heating,4.39,False,True,False,True,False,False,Feb20
110751744,Baden_Württemberg,Heilbronn,Heilbronner_Kernstadt,74076,985.0,1180.0,195.0,,98.0,3.0,2016.0,mint_condition,apartment,A,combined_heat_and_power_plant,8.51,False,True,True,True,False,False,May19
109606495,Sachsen,Zwickau,Pölbitz,8058,330.0,450.0,120.0,,68.5,2.0,,well_kept,apartment,,central_heating,0.0,False,True,False,False,False,False,May19
115600880,Baden_Württemberg,Heilbronn,Sontheim,74081,1250.0,1500.0,250.0,,160.0,4.5,,modernized,roof_storey,,night_storage_heater,5.64,False,True,False,True,False,True,Feb20
61105791,Sachsen,Chemnitz,Schönau,9116,249.0,348.0,99.0,,44.4,2.0,,fully_renovated,roof_storey,,central_heating,0.0,False,True,False,True,False,False,Oct19
103353776,Baden_Württemberg,Heilbronn,Heilbronner_Kernstadt,74072,2100.0,2500.0,300.0,,166.79,5.5,1899.0,refurbished,raised_ground_floor,,central_heating,7.45,False,True,False,True,False,False,Sep18
113180224,Nordrhein_Westfalen,Gütersloh_Kreis,Gütersloh,33332,790.0,1030.0,180.0,,86.0,2.0,1936.0,,loft,C,central_heating,2.85,False,True,False,True,False,False,Oct19
111145104,Sachsen,Chemnitz,Ebersdorf,9131,359.0,500.0,141.0,,64.21,3.0,,,raised_ground_floor,,central_heating,-0.19,False,True,False,True,False,True,May19
